import time: self [us] | cumulative | imported package
import time:       505 |        505 |                       click.parser
import time:       409 |        914 |                     click.formatting
import time:       545 |        545 |                     click.termui
import time:      1849 |       6551 |                   click.core
import time:       424 |        424 |                   click.decorators
import time:       443 |       7416 |                 click
import time:       352 |        352 |                   mmap
import time:       258 |        258 |                   rich.filesize
import time:       839 |        839 |                       rich.ansi
import time:       278 |       1116 |                     rich.file_proxy
import time:       268 |        268 |                     rich.live_render
import time:       479 |       1862 |                   rich.live
import time:       289 |        289 |                   rich.progress_bar
import time:       303 |        303 |                     rich._spinners
import time:       364 |        667 |                   rich.spinner
import time:      2979 |       6403 |                 rich.progress
import time:       856 |      14675 |               httpx._main
import time:       548 |      41163 |             httpx
import time:       496 |        496 |                   cryptography.utils
import time:       147 |        147 |                   cryptography.__about__
import time:       420 |       1063 |                 cryptography
import time:       161 |        161 |                       cryptography.hazmat
import time:       273 |        433 |                     cryptography.hazmat.bindings
import time:      1090 |       1090 |                     _cffi_backend
import time:      4467 |       5989 |                   cryptography.hazmat.bindings._rust
import time:       291 |       6279 |                 cryptography.exceptions
import time:       232 |        232 |                 cryptography.hazmat.primitives
import time:       740 |        740 |                 cryptography.hazmat.primitives.hashes
import time:       270 |        270 |                 cryptography.hazmat.primitives.padding
import time:       254 |        254 |                   cryptography.hazmat.primitives._cipheralgorithm
import time:       227 |        227 |                           cryptography.hazmat.decrepit
import time:       272 |        498 |                         cryptography.hazmat.decrepit.ciphers
import time:       306 |        306 |                         cryptography.hazmat.primitives._modes
import time:       422 |       1225 |                       cryptography.hazmat.decrepit.ciphers.modes
import time:       395 |        395 |                         cryptography.hazmat.decrepit.ciphers.algorithms
import time:       379 |        773 |                       cryptography.hazmat.primitives.ciphers.algorithms
import time:       481 |       2478 |                     cryptography.hazmat.primitives.ciphers.modes
import time:       773 |       3251 |                   cryptography.hazmat.primitives.ciphers.base
import time:       283 |       3787 |                 cryptography.hazmat.primitives.ciphers
import time:       175 |        175 |                 cryptography.hazmat.primitives.hmac
import time:       532 |      13075 |               cryptography.fernet
import time:       246 |      13321 |             src.utils.encryption
import time:       344 |      54827 |           src.infrastructure.db.repositories.project.base
import time:       273 |        273 |           src.infrastructure.db.repositories.project.project_tokens
import time:      1188 |       1188 |             src.domain.project_plane.manager_notifications
import time:       386 |       1574 |           src.infrastructure.db.repositories.project.project_members
import time:       303 |        303 |           src.infrastructure.db.repositories.project.project_queries
import time:       223 |        223 |           src.infrastructure.db.repositories.project.project_configuration
import time:       199 |        199 |           src.infrastructure.db.repositories.project.project_integrations
import time:       192 |        192 |           src.infrastructure.db.repositories.project.project_channels
import time:       234 |        234 |           src.infrastructure.db.repositories.project.project_commands
import time:       584 |      58405 |         src.infrastructure.db.repositories.project
import time:       636 |      82863 |       src.infrastructure.db.repositories
import time:        60 |      82922 |     src.infrastructure.db.repositories.event_repository
import time:       598 |        598 |               pprint
import time:       244 |        244 |                 attrs.converters
import time:       143 |        143 |                 attrs.exceptions
import time:       138 |        138 |                 attrs.filters
import time:       138 |        138 |                 attrs.setters
import time:       145 |        145 |                 attrs.validators
import time:       555 |       1361 |               attrs
import time:      1950 |       1950 |                       rpds.rpds
import time:       366 |       2316 |                     rpds
import time:       224 |        224 |                       referencing._attrs
import time:      6937 |       7160 |                     referencing.exceptions
import time:       534 |        534 |                     referencing.typing
import time:      6337 |      16346 |                   referencing._core
import time:       342 |      16687 |                 referencing
import time:        34 |      16721 |               referencing.exceptions
import time:       409 |        409 |               jsonschema._utils
import time:      1305 |      20393 |             jsonschema.exceptions
import time:       120 |        120 |             fqdn
import time:       101 |        101 |             rfc3987
import time:        99 |         99 |             rfc3986_validator
import time:        95 |         95 |             rfc3987_syntax
import time:        94 |         94 |             rfc3339_validator
import time:        95 |         95 |             webcolors
import time:       518 |        518 |             jsonpointer
import time:       100 |        100 |             uri_template
import time:        96 |         96 |             isoduration
import time:      1332 |      23039 |           jsonschema._format
import time:       730 |        730 |           jsonschema._types
import time:      1823 |       1823 |               referencing.jsonschema
import time:       269 |        269 |               jsonschema_specifications._core
import time:       168 |        168 |                   importlib.resources._itertools
import time:       391 |        558 |                 importlib.resources.readers
import time:       195 |        752 |               importlib.readers
import time:      6807 |       9650 |             jsonschema_specifications
import time:       408 |        408 |             jsonschema._keywords
import time:       273 |        273 |             jsonschema._legacy_keywords
import time:       310 |        310 |               jsonschema.protocols
import time:       296 |        605 |             jsonschema._typing
import time:      6851 |      17785 |           jsonschema.validators
import time:       462 |      42015 |         jsonschema
import time:       766 |      42781 |       src.tools.registry
import time:       310 |      43090 |     src.tools
import time:      2271 |       2271 |                   groq._types
import time:       265 |        265 |                     groq._utils._sync
import time:       273 |        273 |                     groq._utils._proxy
import time:       394 |        394 |                     groq._utils._utils
import time:       898 |        898 |                       groq._utils._datetime_parse
import time:       243 |       1141 |                     groq._utils._compat
import time:       234 |        234 |                     groq._utils._typing
import time:       205 |        205 |                     groq._utils._streams
import time:       234 |        234 |                       groq._files
import time:       385 |        619 |                     groq._utils._transform
import time:       177 |        177 |                     groq._utils._reflection
import time:       570 |       3873 |                   groq._utils
import time:       616 |        616 |                   groq._compat
import time:       268 |        268 |                   groq._constants
import time:       302 |        302 |                   pydantic._internal._serializers
import time:      7143 |      14472 |                 groq._models
import time:       767 |      15239 |               groq.types.model
import time:      1298 |       1298 |                 groq.types.shared.error_object
import time:       179 |        179 |                   groq.types.shared.function_parameters
import time:       665 |        843 |                 groq.types.shared.function_definition
import time:       294 |       2435 |               groq.types.shared
import time:       541 |        541 |               groq.types.embedding
import time:       464 |        464 |               groq.types.model_deleted
import time:      1333 |       1333 |               groq.types.completion_usage
import time:       300 |        300 |               groq.types.file_create_params
import time:       949 |        949 |               groq.types.file_info_response
import time:       934 |        934 |               groq.types.file_list_response
import time:       350 |        350 |               groq.types.batch_create_params
import time:      2662 |       2662 |               groq.types.batch_list_response
import time:       465 |        465 |               groq.types.model_list_response
import time:       636 |        636 |               groq.types.file_create_response
import time:       466 |        466 |               groq.types.file_delete_response
import time:      2174 |       2174 |               groq.types.batch_cancel_response
import time:      3254 |       3254 |               groq.types.batch_create_response
import time:      2190 |       2190 |               groq.types.batch_retrieve_response
import time:       420 |        420 |               groq.types.embedding_create_params
import time:       852 |        852 |               groq.types.create_embedding_response
import time:      1070 |      36726 |             groq.types
import time:       443 |        443 |               groq._exceptions
import time:       571 |        571 |               groq._qs
import time:       151 |        151 |               groq._version
import time:       536 |        536 |               groq._streaming
import time:      1125 |       1125 |                   distro.distro
import time:       307 |       1431 |                 distro
import time:      1051 |       1051 |                 groq._response
import time:       106 |        106 |                 httpx_aiohttp
import time:      3434 |       6022 |               groq._base_client
import time:       858 |       8579 |             groq._client
import time:       198 |        198 |             groq._utils._logs
import time:       269 |        269 |             groq._utils._resources_proxy
import time:       521 |      46291 |           groq
import time:       287 |      46578 |         src.infrastructure.llm.query_expander
import time:      2246 |       2246 |         src.infrastructure.llm.rag_contract
import time:       369 |      49191 |       src.infrastructure.llm.rag_service
import time:       830 |      50021 |     src.tools.builtins
import time:       480 |        480 |     src.tools.http_tool
import time:       542 |     395596 |   src.interfaces.composition.fastapi_lifespan
import time:       601 |        601 |             jwt.exceptions
import time:       367 |        367 |             jwt.types
import time:       170 |        170 |                 cryptography.hazmat.primitives.asymmetric
import time:       703 |        703 |                 cryptography.hazmat._oid
import time:       449 |        449 |                 cryptography.hazmat.primitives._serialization
import time:       202 |        202 |                 cryptography.hazmat.primitives.asymmetric.utils
import time:      1072 |       2593 |               cryptography.hazmat.primitives.asymmetric.ec
import time:       833 |       3426 |             jwt.utils
import time:       220 |        220 |             cryptography.hazmat.backends
import time:       173 |        173 |               cryptography.hazmat.primitives._asymmetric
import time:       337 |        337 |               cryptography.hazmat.primitives.asymmetric.rsa
import time:       463 |        972 |             cryptography.hazmat.primitives.asymmetric.padding
import time:       360 |        360 |             cryptography.hazmat.primitives.asymmetric.ed448
import time:       277 |        277 |             cryptography.hazmat.primitives.asymmetric.ed25519
import time:       235 |        235 |               cryptography.hazmat.primitives.serialization.base
import time:       350 |        350 |                 cryptography.hazmat.primitives.asymmetric.dsa
import time:       100 |        100 |                 bcrypt
import time:      2346 |       2795 |               cryptography.hazmat.primitives.serialization.ssh
import time:       321 |       3350 |             cryptography.hazmat.primitives.serialization
import time:      1219 |      10788 |           jwt.algorithms
import time:       410 |      11198 |         jwt.api_jwk
import time:       202 |        202 |           jwt.warnings
import time:       455 |        656 |         jwt.api_jws
import time:       386 |        386 |         jwt.api_jwt
import time:       232 |        232 |           jwt.jwk_set_cache
import time:       390 |        622 |         jwt.jwks_client
import time:       416 |      13276 |       jwt
import time:       630 |        630 |       src.application.ports.project_port
import time:       177 |        177 |       src.interfaces.composition.project_repositories
import time:       206 |        206 |         src.application.ports.client_port
import time:       414 |        414 |         src.application.ports.memory_port
import time:       417 |        417 |         src.application.ports.thread_port
import time:       202 |        202 |         src.domain.control_plane.roles
import time:       427 |       1664 |       src.application.services.client_query_service
import time:       228 |        228 |           src.application.ports.event_port
import time:       291 |        518 |         src.application.services.project_query_service
import time:       326 |        844 |       src.application.services.project_command_service
import time:       197 |        197 |       src.application.services.project_service
import time:       204 |        204 |       src.application.services.thread_command_service
import time:       270 |        270 |       src.application.services.thread_query_service
import time:       170 |        170 |         src.infrastructure.redis
import time:       169 |        169 |                           redis.observability
import time:      1265 |       1434 |                         redis.observability.attributes
import time:       811 |        811 |                             redis.observability.config
import time:       936 |        936 |                               redis.exceptions
import time:       684 |        684 |                               redis.typing
import time:      1287 |       1287 |                               hiredis
import time:       776 |       3681 |                             redis.utils
import time:        98 |         98 |                               opentelemetry
import time:        67 |        165 |                             opentelemetry.metrics
import time:       788 |       5444 |                           redis.observability.metrics
import time:       102 |        102 |                                 opentelemetry
import time:        65 |        167 |                               opentelemetry.sdk
import time:        32 |        199 |                             opentelemetry.sdk.metrics
import time:       504 |        702 |                           redis.observability.providers
import time:       380 |        380 |                           redis.observability.registry
import time:       631 |       7156 |                         redis.observability.recorder
import time:      1227 |       9817 |                       redis.maint_notifications
import time:       206 |        206 |                       redis._parsers.encoders
import time:       302 |        302 |                       redis._parsers.socket
import time:      1162 |      11485 |                     redis._parsers.base
import time:       864 |        864 |                     redis._parsers.commands
import time:       500 |        500 |                     redis._parsers.hiredis
import time:       314 |        314 |                     redis._parsers.resp2
import time:       329 |        329 |                     redis._parsers.resp3
import time:       419 |      13908 |                   redis._parsers
import time:       579 |      14487 |                 redis._parsers.helpers
import time:       173 |        173 |                     redis.auth
import time:       221 |        221 |                     redis.auth.err
import time:       509 |        903 |                   redis.auth.token
import time:       794 |        794 |                   redis.driver_info
import time:       356 |        356 |                     redis.credentials
import time:      1278 |       1634 |                   redis.event
import time:       186 |        186 |                     redis.asyncio.observability
import time:       569 |        755 |                   redis.asyncio.observability.recorder
import time:       679 |        679 |                     redis.retry
import time:       611 |       1289 |                   redis.asyncio.retry
import time:       433 |        433 |                   redis.backoff
import time:       315 |        315 |                       _queue
import time:       421 |        736 |                     queue
import time:      2014 |       2014 |                     redis.cache
import time:      2880 |       5629 |                   redis.connection
import time:      2459 |      13891 |                 redis.asyncio.connection
import time:       499 |        499 |                 redis.asyncio.lock
import time:       316 |        316 |                       redis.crc
import time:       398 |        398 |                           xxhash._xxhash
import time:       153 |        153 |                           xxhash.version
import time:       488 |       1037 |                         xxhash
import time:       360 |        360 |                         redis.commands.helpers
import time:      7206 |       8602 |                       redis.commands.core
import time:       304 |        304 |                       redis.commands.redismodules
import time:      1482 |      10703 |                     redis.commands.cluster
import time:       243 |        243 |                     redis.commands.sentinel
import time:       299 |      11243 |                   redis.commands
import time:       422 |        422 |                   redis.lock
import time:      2529 |      14194 |                 redis.client
import time:      2525 |      45594 |               redis.asyncio.client
import time:       657 |        657 |                   redis.commands.policies
import time:      3309 |       3966 |                 redis.cluster
import time:      4508 |       8473 |               redis.asyncio.cluster
import time:       545 |        545 |               redis.asyncio.sentinel
import time:       196 |        196 |               redis.asyncio.utils
import time:       482 |      55288 |             redis.asyncio
import time:       412 |        412 |             redis.sentinel
import time:       351 |      56050 |           redis
import time:        34 |      56084 |         redis.asyncio
import time:       317 |      56570 |       src.infrastructure.redis.client
import time:       851 |      74679 |     src.interfaces.http.dependencies
import time:      1582 |       1582 |       src.application.ports.google_identity_port
import time:       387 |        387 |       src.application.ports.user_port
import time:      1619 |       3587 |     src.application.services.auth_service
import time:       170 |        170 |       src.infrastructure.identity
import time:       437 |        606 |     src.infrastructure.identity.google_verifier
import time:       924 |        924 |             pydantic.v1.typing
import time:      2339 |       3263 |           pydantic.v1.errors
import time:       110 |        110 |               cython
import time:       211 |        321 |             pydantic.v1.version
import time:      1312 |       1632 |           pydantic.v1.utils
import time:       908 |       5802 |         pydantic.v1.class_validators
import time:      1251 |       1251 |         pydantic.v1.config
import time:       949 |        949 |             pydantic.v1.color
import time:      1550 |       1550 |                 pydantic.v1.datetime_parse
import time:      1003 |       2552 |               pydantic.v1.validators
import time:      1448 |       4000 |             pydantic.v1.networks
import time:      2475 |       2475 |             pydantic.v1.types
import time:       467 |       7890 |           pydantic.v1.json
import time:       675 |       8564 |         pydantic.v1.error_wrappers
import time:      1118 |       1118 |         pydantic.v1.fields
import time:       347 |        347 |           pydantic.v1.parse
import time:      2188 |       2188 |           pydantic.v1.schema
import time:      1763 |       4297 |         pydantic.v1.main
import time:      1210 |      22240 |       pydantic.v1.dataclasses
import time:       331 |        331 |       pydantic.v1.annotated_types
import time:       672 |        672 |       pydantic.v1.decorator
import time:      1180 |       1180 |       pydantic.v1.env_settings
import time:       383 |        383 |       pydantic.v1.tools
import time:       623 |      25428 |     pydantic.v1
import time:     23964 |     128262 |   src.interfaces.http.auth
import time:       496 |        496 |   src.interfaces.http.bot
import time:      2692 |       2692 |   src.interfaces.http.chat
import time:      6053 |       6053 |   src.interfaces.http.clients
import time:       557 |        557 |     src.application.ports.knowledge_port
import time:       406 |        406 |     src.infrastructure.llm.chunker
import time:       307 |        307 |     src.application.services.knowledge_service
import time:      5309 |       6577 |   src.interfaces.http.knowledge
import time:       354 |        354 |         yaml.error
import time:       474 |        474 |         yaml.tokens
import time:       385 |        385 |         yaml.events
import time:       245 |        245 |         yaml.nodes
import time:      6736 |       6736 |           yaml.reader
import time:       705 |        705 |           yaml.scanner
import time:       351 |        351 |           yaml.parser
import time:       323 |        323 |           yaml.composer
import time:      1323 |       1323 |           yaml.constructor
import time:      1966 |       1966 |           yaml.resolver
import time:       783 |      12184 |         yaml.loader
import time:       749 |        749 |           yaml.emitter
import time:       264 |        264 |           yaml.serializer
import time:       423 |        423 |           yaml.representer
import time:       551 |       1986 |         yaml.dumper
import time:       784 |        784 |           yaml._yaml
import time:       506 |       1289 |         yaml.cyaml
import time:       777 |      17692 |       yaml
import time:       392 |      18084 |     src.infrastructure.llm.model_registry
import time:       362 |        362 |     src.infrastructure.llm.rate_limit_tracker
import time:      1552 |      19997 |   src.interfaces.http.limits
import time:       450 |        450 |   src.interfaces.http.logs
import time:      2084 |       2084 |   src.interfaces.http.metrics
import time:     91260 |      91260 |   src.interfaces.http.projects
import time:     21774 |      21774 |   src.interfaces.http.threads
import time:       188 |        188 |       src.interfaces.telegram
import time:       184 |        184 |         src.interfaces.telegram.platform_admin
import time:       169 |        169 |                   telegram._utils
import time:       241 |        241 |                     telegram.warnings
import time:       208 |        448 |                   telegram._utils.warnings
import time:       110 |        110 |                   pytz
import time:       393 |       1118 |                 telegram._utils.datetime
import time:       562 |        562 |                 telegram._utils.enum
import time:     20467 |      22147 |               telegram.constants
import time:       806 |        806 |                 telegram._utils.defaultvalue
import time:      1728 |       1728 |                 telegram._utils.types
import time:       978 |       3511 |               telegram._telegramobject
import time:       208 |        208 |                   telegram._inline
import time:       192 |        192 |                   telegram._copytextbutton
import time:       264 |        264 |                     telegram._games
import time:       306 |        570 |                   telegram._games.callbackgame
import time:       189 |        189 |                   telegram._loginurl
import time:       266 |        266 |                   telegram._switchinlinequerychosenchat
import time:       633 |        633 |                     telegram._linkpreviewoptions
import time:       487 |       1120 |                   telegram._utils.argumentparsing
import time:       183 |        183 |                   telegram._webappinfo
import time:       838 |       3563 |                 telegram._inline.inlinekeyboardbutton
import time:       326 |        326 |                 telegram._menubutton
import time:       386 |        386 |                 telegram._utils.usernames
import time:       216 |        216 |                 telegram.helpers
import time:      2303 |       6793 |               telegram._user
import time:       406 |        406 |               telegram._utils.strings
import time:       728 |      33584 |             telegram._messageentity
import time:       406 |      33989 |           telegram._inputchecklist
import time:       169 |        169 |               telegram._payment
import time:       288 |        456 |             telegram._payment.stars
import time:       307 |        763 |           telegram._payment.stars.staramount
import time:       233 |        233 |                 telegram._chatpermissions
import time:       381 |        381 |                 telegram._forumtopic
import time:       735 |        735 |                 telegram._reaction
import time:      1981 |       3329 |               telegram._chat
import time:       173 |        173 |                   telegram._files
import time:       216 |        216 |                     telegram._files._basemedium
import time:       190 |        190 |                     telegram._files.photosize
import time:       427 |        831 |                   telegram._files._basethumbedmedium
import time:       162 |        162 |                       telegram._passport
import time:       471 |        471 |                       telegram.error
import time:       671 |       1303 |                     telegram._passport.credentials
import time:       277 |        277 |                     telegram._utils.files
import time:       388 |       1966 |                   telegram._files.file
import time:       717 |       3687 |                 telegram._files.sticker
import time:       178 |        178 |                 telegram._utils.entities
import time:       521 |       4385 |               telegram._gifts
import time:       197 |        197 |                   telegram._files.videoquality
import time:       270 |        466 |                 telegram._files.video
import time:       440 |        906 |               telegram._paidmedia
import time:       218 |        218 |               telegram._payment.stars.affiliateinfo
import time:       314 |        314 |               telegram._payment.stars.revenuewithdrawalstate
import time:       840 |       9989 |             telegram._payment.stars.transactionpartner
import time:       301 |      10289 |           telegram._payment.stars.startransactions
import time:       500 |        500 |           telegram._version
import time:       161 |        161 |               telegram._utils.logging
import time:       279 |        279 |                     telegram._files.inputfile
import time:       330 |        609 |                   telegram._files._inputstorycontent
import time:       209 |        209 |                     telegram._files.animation
import time:       202 |        202 |                     telegram._files.audio
import time:       182 |        182 |                     telegram._files.document
import time:      1676 |       2268 |                   telegram._files.inputmedia
import time:       348 |        348 |                   telegram._files.inputprofilephoto
import time:       286 |        286 |                   telegram._files.inputsticker
import time:      1575 |       5084 |                 telegram.request._requestparameter
import time:       308 |       5391 |               telegram.request._requestdata
import time:       612 |       6163 |             telegram.request._baserequest
import time:       368 |        368 |             telegram.request._httpxrequest
import time:       272 |       6802 |           telegram.request
import time:       239 |        239 |           telegram._birthdate
import time:       230 |        230 |             telegram._userprofileaudios
import time:       226 |        226 |             telegram._botcommand
import time:       374 |        374 |             telegram._botcommandscope
import time:       196 |        196 |             telegram._botdescription
import time:       207 |        207 |             telegram._botname
import time:       238 |        238 |               telegram._files.location
import time:       506 |        744 |             telegram._business
import time:       280 |        280 |             telegram._chatadministratorrights
import time:       519 |        519 |             telegram._chatboost
import time:       205 |        205 |               telegram._chatlocation
import time:       258 |        258 |               telegram._files.chatphoto
import time:       443 |        443 |               telegram._uniquegift
import time:       187 |        187 |               telegram._userrating
import time:       612 |       1704 |             telegram._chatfullinfo
import time:       261 |        261 |             telegram._chatinvitelink
import time:       447 |        447 |             telegram._chatmember
import time:       205 |        205 |             telegram._files.contact
import time:       203 |        203 |             telegram._files.venue
import time:       244 |        244 |             telegram._files.videonote
import time:       209 |        209 |             telegram._files.voice
import time:       210 |        210 |             telegram._games.gamehighscore
import time:       232 |        232 |             telegram._inline.inlinequeryresultsbutton
import time:       208 |        208 |             telegram._inline.preparedinlinemessage
import time:       959 |        959 |               telegram._chatbackground
import time:       440 |        440 |               telegram._chatowner
import time:       651 |        651 |               telegram._checklists
import time:       274 |        274 |               telegram._dice
import time:       193 |        193 |               telegram._directmessagepricechanged
import time:       239 |        239 |               telegram._directmessagestopic
import time:       238 |        238 |               telegram._games.game
import time:       233 |        233 |                 telegram._utils.markup
import time:       272 |        504 |               telegram._inline.inlinekeyboardmarkup
import time:       195 |        195 |               telegram._messageautodeletetimerchanged
import time:       178 |        178 |               telegram._paidmessagepricechanged
import time:       241 |        241 |                   telegram._passport.data
import time:       254 |        254 |                   telegram._passport.passportfile
import time:       331 |        826 |                 telegram._passport.encryptedpassportelement
import time:       251 |       1076 |               telegram._passport.passportdata
import time:       271 |        271 |               telegram._payment.invoice
import time:       189 |        189 |               telegram._payment.refundedpayment
import time:       169 |        169 |                   telegram._payment.shippingaddress
import time:       238 |        407 |                 telegram._payment.orderinfo
import time:       240 |        646 |               telegram._payment.successfulpayment
import time:       518 |        518 |               telegram._poll
import time:       201 |        201 |               telegram._proximityalerttriggered
import time:       315 |        315 |                 telegram._giveaway
import time:       332 |        332 |                 telegram._messageorigin
import time:       242 |        242 |                 telegram._story
import time:       512 |       1400 |               telegram._reply
import time:       383 |        383 |               telegram._shared
import time:       336 |        336 |               telegram._videochat
import time:       187 |        187 |               telegram._webappdata
import time:       199 |        199 |               telegram._writeaccessallowed
import time:      3428 |      12697 |             telegram._message
import time:       210 |        210 |             telegram._messageid
import time:       395 |        395 |             telegram._ownedgift
import time:       182 |        182 |             telegram._sentwebappmessage
import time:       578 |        578 |               telegram._callbackquery
import time:       533 |        533 |               telegram._chatjoinrequest
import time:       460 |        460 |               telegram._chatmemberupdated
import time:       206 |        206 |               telegram._choseninlineresult
import time:       427 |        427 |               telegram._inline.inlinequery
import time:       285 |        285 |               telegram._messagereactionupdated
import time:       258 |        258 |               telegram._payment.precheckoutquery
import time:       243 |        243 |               telegram._payment.shippingquery
import time:       835 |       3820 |             telegram._update
import time:       262 |        262 |             telegram._userprofilephotos
import time:       181 |        181 |             telegram._utils.repr
import time:       238 |        238 |             telegram._webhookinfo
import time:     53858 |      78527 |           telegram._bot
import time:       496 |        496 |           telegram._forcereply
import time:       222 |        222 |           telegram._inline.inlinequeryresult
import time:       233 |        233 |           telegram._inline.inlinequeryresultarticle
import time:       278 |        278 |           telegram._inline.inlinequeryresultaudio
import time:       216 |        216 |           telegram._inline.inlinequeryresultcachedaudio
import time:       290 |        290 |           telegram._inline.inlinequeryresultcacheddocument
import time:       223 |        223 |           telegram._inline.inlinequeryresultcachedgif
import time:       225 |        225 |           telegram._inline.inlinequeryresultcachedmpeg4gif
import time:       216 |        216 |           telegram._inline.inlinequeryresultcachedphoto
import time:       195 |        195 |           telegram._inline.inlinequeryresultcachedsticker
import time:       217 |        217 |           telegram._inline.inlinequeryresultcachedvideo
import time:       209 |        209 |           telegram._inline.inlinequeryresultcachedvoice
import time:       193 |        193 |           telegram._inline.inlinequeryresultcontact
import time:       214 |        214 |           telegram._inline.inlinequeryresultdocument
import time:       179 |        179 |           telegram._inline.inlinequeryresultgame
import time:       251 |        251 |           telegram._inline.inlinequeryresultgif
import time:       270 |        270 |           telegram._inline.inlinequeryresultlocation
import time:       259 |        259 |           telegram._inline.inlinequeryresultmpeg4gif
import time:       217 |        217 |           telegram._inline.inlinequeryresultphoto
import time:       292 |        292 |           telegram._inline.inlinequeryresultvenue
import time:       264 |        264 |           telegram._inline.inlinequeryresultvideo
import time:       235 |        235 |           telegram._inline.inlinequeryresultvoice
import time:       172 |        172 |             telegram._inline.inputmessagecontent
import time:       238 |        410 |           telegram._inline.inputcontactmessagecontent
import time:       220 |        220 |             telegram._payment.labeledprice
import time:       301 |        521 |           telegram._inline.inputinvoicemessagecontent
import time:       235 |        235 |           telegram._inline.inputlocationmessagecontent
import time:       213 |        213 |           telegram._inline.inputtextmessagecontent
import time:       203 |        203 |           telegram._inline.inputvenuemessagecontent
import time:       187 |        187 |             telegram._keyboardbuttonpolltype
import time:       273 |        273 |             telegram._keyboardbuttonrequest
import time:       332 |        792 |           telegram._keyboardbutton
import time:       399 |        399 |           telegram._passport.passportelementerrors
import time:       268 |        268 |           telegram._payment.shippingoption
import time:       287 |        287 |           telegram._replykeyboardmarkup
import time:       176 |        176 |           telegram._replykeyboardremove
import time:       424 |        424 |           telegram._storyarea
import time:       466 |        466 |           telegram._suggestedpost
import time:      2549 |     143430 |         telegram
import time:       181 |        181 |           src.domain.control_plane.memberships
import time:       478 |        659 |         src.application.services.platform_bot_service
import time:       245 |        245 |         src.interfaces.telegram.platform_admin.keyboards
import time:       829 |     145345 |       src.interfaces.telegram.platform_admin.handlers
import time:      1058 |       1058 |               multidict._abc
import time:       375 |        375 |                 multidict._multidict
import time:       433 |        807 |               multidict._compat
import time:       537 |       2401 |             multidict
import time:       725 |       3125 |           aiohttp.hdrs
import time:       518 |        518 |                     yarl._quoting_c
import time:       200 |        717 |                   yarl._quoting
import time:       213 |        930 |                 yarl._quoters
import time:       427 |       1357 |               yarl._query
import time:       241 |        241 |                   propcache
import time:       302 |        302 |                     propcache._helpers_c
import time:       218 |        519 |                   propcache._helpers
import time:       280 |       1040 |                 propcache.api
import time:       233 |        233 |                 yarl._parse
import time:       160 |        160 |                 yarl._path
import time:      1698 |       3129 |               yarl._url
import time:       357 |       4842 |             yarl
import time:       843 |        843 |                 aiohttp.typedefs
import time:       600 |       1442 |               aiohttp.http_exceptions
import time:      1614 |       1614 |                   aiohttp.client_exceptions
import time:       333 |        333 |                     netrc
import time:      2415 |       2415 |                         email._header_value_parser
import time:       796 |       3211 |                       email.headerregistry
import time:       296 |        296 |                       email.contentmanager
import time:       535 |       4040 |                     email.policy
import time:       194 |        194 |                     aiohttp.log
import time:      5484 |      10050 |                   aiohttp.helpers
import time:       182 |        182 |                   aiohttp.tcp_helpers
import time:       397 |      12242 |                 aiohttp.base_protocol
import time:       107 |        107 |                   brotlicffi
import time:       253 |        253 |                   brotli
import time:        92 |         92 |                     backports
import time:        63 |        155 |                   backports.zstd
import time:       778 |       1292 |                 aiohttp.compression_utils
import time:      2171 |       2171 |                     aiohttp._cookie_helpers
import time:      2342 |       4513 |                   aiohttp.abc
import time:       358 |        358 |                   aiohttp._http_writer
import time:       941 |       5811 |                 aiohttp.http_writer
import time:       885 |        885 |                 aiohttp.streams
import time:       630 |        630 |                 aiohttp._http_parser
import time:      2797 |      23654 |               aiohttp.http_parser
import time:       210 |        210 |                   aiohttp._websocket
import time:       996 |        996 |                   aiohttp._websocket.models
import time:       235 |        235 |                   aiohttp._websocket.mask
import time:       914 |       2353 |                 aiohttp._websocket.helpers
import time:       651 |        651 |                   aiohttp._websocket.reader_c
import time:       218 |        869 |                 aiohttp._websocket.reader
import time:       300 |        300 |                 aiohttp._websocket.writer
import time:       279 |       3800 |               aiohttp.http_websocket
import time:       354 |      29249 |             aiohttp.http
import time:      2641 |       2641 |             aiohttp.payload
import time:      1726 |       1726 |                 aiohttp.multipart
import time:       272 |        272 |                 aiohttp.formdata
import time:      3700 |       5697 |               aiohttp.client_reqrep
import time:       342 |       6039 |             aiohttp.client_middlewares
import time:       999 |        999 |             aiohttp.client_ws
import time:       364 |        364 |                   aiohappyeyeballs._staggered
import time:       258 |        258 |                   aiohappyeyeballs.types
import time:       682 |       1303 |                 aiohappyeyeballs.impl
import time:       590 |        590 |                 aiohappyeyeballs.utils
import time:       351 |       2243 |               aiohappyeyeballs
import time:       397 |        397 |               aiohttp.client_proto
import time:       241 |        241 |                 aiodns
import time:       574 |        814 |               aiohttp.resolver
import time:     73084 |      76537 |             aiohttp.connector
import time:      1575 |       1575 |             aiohttp.cookiejar
import time:       479 |        479 |                   frozenlist._frozenlist
import time:       384 |        863 |                 frozenlist
import time:       487 |       1350 |               aiosignal
import time:      9771 |      11120 |             aiohttp.tracing
import time:      3507 |     136506 |           aiohttp.client
import time:      1190 |       1190 |           aiohttp.client_middleware_digest_auth
import time:       476 |        476 |           aiohttp.payload_streamer
import time:       615 |     141909 |         aiohttp
import time:       557 |     142465 |       src.interfaces.telegram.platform_admin.knowledge_upload
import time:       522 |     288519 |     src.interfaces.telegram.platform_bot
